barrio;ley;identificacion;circunscripcion;seccion;manzana;parcela;division;tipo_unidad;nrounidad;partidaunidad;digitoverificador;tipoplano;valuacionfiscal;nueva;mtstotales;mtscubiertos;habilitado
CABA;2095;Centro cultural Recoleta;;;;;Local Gastronómico;Comercial;1;;;;;S;;;S
CABA;2095;Centro cultural Recoleta;;;;;Museo Participativo de Ciencias;Comercial;1;;;;;S;;;S
CABA;2095;"Centro de Jubilados y Pensionados ""Tita""  540";;;;;"Centro de Jubilados y Pensionados ""Tita""  540";Comercial;1;;;;0;N;0;0;S
CABA;2095;Centro de atención al piloto autódromo Oscar y Juan Galves 1124;;;;;Centro de atención al piloto autódromo Oscar y Juan Galves 1124;Comercial;1;;;;0;N;0;0;S
CABA;2095;Centro de concentración logística (CTC) 1078;;;;;Centro de concentración logística (CTC) 1078;Comercial;1;;;;0;N;0;0;S
CABA;2095;Centro de concentración logística (Plaza Logística) 1201;;;;;Centro de concentración logística (Plaza Logística) 1201;Comercial;1;;;;0;N;0;0;S
CABA;2095;Chacabuco 1252;;;;;Chacabuco 1252;Comercial;1;;;;;S;;;S
CABA;2095;Club Atlético Barracas Juniors  300;;;;;Club Atlético Barracas Juniors  300;Comercial;1;;;;0;N;0;0;S
CABA;2095;Club Atlético Platense  471;;;;;Club Atlético Platense  471;Comercial;1;;;;0;N;0;0;S
CABA;2095;Club Atlético San Telmo  538;;;;;Club Atlético San Telmo  538;Comercial;1;;;;0;N;0;0;S
CABA;2095;Club Manuel Belgrano  281;;;;;Club Manuel Belgrano  281;Comercial;1;;;;0;N;0;0;S
CABA;2095;Club de Amigos 388;;;;;Club de Amigos 388;Comercial;1;;;;0;N;0;0;S
CABA;2095;Club social y deportivo Crespo Juniors  1143;;;;;Club social y deportivo Crespo Juniors  1143;Comercial;1;;;;0;N;0;0;S
CABA;2095;Club social y deportivo Jorge Newberry  918;;;;;Club social y deportivo Jorge Newberry  918;Comercial;1;;;;0;N;0;0;S
CABA;2095;Commercial Carpets S.A.;;;;;Castro 1260;Comercial;1260;;;;;S;;;S
CABA;2095;Complejo Belaustegui;;;;;EMILIO MITRE 955 Y 979 (LOCALES);Comercial;1257;;;;;S;;;S
CABA;2095;Conccase del Pilar SA;;;;;Espacio Nº 7 DJ;Comercial;1253;;;;;S;;;S
CABA;2095;Conf. Sede Asoc.Amigos Museo Nac. Bellas Artes 463;;;;;Conf. Sede Asoc.Amigos Museo Nac. Bellas Artes 463;Comercial;1;;;;0;N;0;0;S
CABA;2095;Cooperadora de Accion Social COAS 1199;;;;;Cooperadora de Accion Social COAS 1199;Comercial;1;;;;0;N;0;0;S
CABA;2095;Correo Central Linea E (Local 1);;;;;Correo Central Linea E (Local 1);Comercial;1;;;;;S;;;S
CABA;2095;DAKOTA 88;;;;;DAKOTA 88;Comercial;1;;;;0;N;0;0;S
