aa_ocompra;t_ocompra;n_ocompra;aa_factura;t_factura;o_factura;aa_precepcion;t_precepcion;n_precepcion;aa_formulario;t_formulario;o_formulario;f_emision;f_autorizacion;e_firma;u_firma;f_firma;f_vencimiento_factura;importe_op;importe_pago;fh_pago;c_mediopago;e_pago;importe_factura;neto
2024;OCC;45184;2024;FCG;410388;2024;PRD;312168;2024;C41;354574;2024-09-19 00:00:00;2024-09-19 00:00:00;F;RGAUTO3;2024-09-20 08:43:06;2024-10-03 00:00:00;1012695;1012695;2024-11-15 11:08:07;BANCO;C;1012695;963612,88
2024;OCC;45249;2024;FCG;417663;2024;PRD;313009;2024;C41;362717;2024-09-24 00:00:00;2024-09-24 00:00:00;F;PDIAZBOS;2024-09-24 16:22:45;2024-10-04 00:00:00;4060304,82;4060304,82;2024-10-17 11:20:12;BANCO;C;4060304,82;3916433,59
2024;OCC;46094;2024;FCG;461971;2024;PRD;371738;2024;C41;400397;2024-10-15 00:00:00;2024-10-15 00:00:00;F;RGAUTO3;2024-10-17 09:16:13;2024-10-29 00:00:00;229993,85;229993,85;2024-10-17 11:20:20;BANCO;C;229993,85;211635,71
2024;OCC;45160;2024;FCG;406526;2024;PRD;311694;2024;C41;354788;2024-09-20 00:00:00;2024-09-20 00:00:00;F;JCGAUTO2;2024-09-20 13:45:04;2024-10-01 00:00:00;18957733,8;18957733,8;2024-09-25 11:36:00;BANCO;C;18957733,8;18346867,74
2024;OCC;47375;2024;FCG;428061;2024;PRD;337031;2024;C41;372127;2024-09-27 00:00:00;2024-09-27 00:00:00;F;RGAUTO3;2024-09-30 10:00:00;2024-10-10 00:00:00;33157;33157;2024-10-07 12:14:31;BANCO;C;33157;32328,07
2024;OCC;50590;2024;FCG;465930;2024;PRD;374906;2024;C41;406711;2024-10-21 00:00:00;2024-10-21 00:00:00;F;BUONVISO2;2024-10-22 08:38:02;2024-10-31 00:00:00;68244;68244;2024-10-28 12:08:27;BANCO;C;68244;66656,34
2024;OCC;52816;2024;FCG;480993;2024;PRD;385007;2024;C41;415531;2024-10-30 00:00:00;2024-10-30 00:00:00;F;FRANCHEL3;2024-10-30 12:09:26;2024-11-12 00:00:00;583095;583095;2024-12-02 10:51:43;BANCO;C;583095;559211,1
2024;OCC;52826;2024;FCG;480994;2024;PRD;385056;2024;C41;415532;2024-10-30 00:00:00;2024-10-30 00:00:00;F;FRANCHEL3;2024-10-30 12:09:27;2024-11-12 00:00:00;699599,63;699599,63;2024-12-02 10:51:43;BANCO;C;699599,63;670675,23
2024;OCC;54837;2024;FCG;498989;2024;PRD;395413;2024;C41;432734;2024-11-14 00:00:00;2024-11-14 00:00:00;F;JCGAUTO2;2024-11-15 13:57:24;2024-11-25 00:00:00;3123343,9;3123343,9;2024-11-25 11:14:28;BANCO;C;3123343,9;3012982,58
2024;OCC;55096;2024;FCG;505812;2024;PRD;397383;2024;C41;437587;2024-11-19 00:00:00;2024-11-19 00:00:00;F;PDIAZBOS;2024-11-19 16:02:54;2024-11-29 00:00:00;553222,89;553222,89;2024-11-28 12:20:57;BANCO;C;553222,89;534780,57
2024;OCC;55092;2024;FCG;502190;2024;PRD;397352;2024;C41;433235;2024-11-14 00:00:00;2024-11-15 00:00:00;F;RGAUTO3;2024-11-19 09:18:18;2024-11-29 00:00:00;3099203,32;3099203,32;2024-11-28 12:20:57;BANCO;C;3099203,32;2966461,35
2024;OCC;54461;2024;FCG;495913;2024;PRD;392856;2024;C41;427467;2024-11-12 00:00:00;2024-11-12 00:00:00;F;RGAUTO3;2024-11-12 11:53:50;2024-11-27 00:00:00;223615;223615;2024-11-19 12:37:50;BANCO;C;223615;213047,66
2024;OCC;54459;2024;FCG;495845;2024;PRD;392849;2024;C41;430318;2024-11-13 00:00:00;2024-11-13 00:00:00;F;JCGAUTO2;2024-11-13 14:34:07;2024-11-22 00:00:00;252020,8;252020,8;2024-11-19 12:37:53;BANCO;C;252020,8;244350,8
2024;OCC;54916;2024;FCG;501382;2024;PRD;396704;2024;C41;436924;2024-11-19 00:00:00;2024-11-19 00:00:00;F;BUONVISO2;2024-11-20 08:26:56;2024-11-29 00:00:00;885661,92;885661,92;2024-12-23 13:12:22;BANCO;C;885661,92;848687,63
2024;OCC;54458;2024;FCG;495999;2024;PRD;392834;2024;C41;430038;2024-11-13 00:00:00;2024-11-13 00:00:00;F;FRANCHEL3;2024-11-13 11:29:42;2024-11-27 00:00:00;6952893;6952893;2024-11-19 12:37:53;BANCO;C;6952893;6653423,21
2024;OCC;56534;2024;FCG;542228;2024;PRD;412904;2024;C41;469322;2024-12-09 00:00:00;2024-12-11 00:00:00;F;RGAUTO3;2024-12-12 14:49:38;2024-12-20 00:00:00;3651367,8;3651367,8;2024-12-23 14:00:35;BANCO;C;3651367,8;3348682,03
2024;OCC;59632;2024;FCG;557003;2024;PRD;436629;2024;C41;479999;2024-12-16 00:00:00;2024-12-16 00:00:00;F;FRANCHEL3;2024-12-16 08:57:51;2024-12-30 00:00:00;186600,95;186600,95;2024-12-26 11:11:18;BANCO;C;186600,95;179871,16
2024;OCC;59636;2024;FCG;554024;2024;PRD;436599;2024;C41;477067;2024-12-12 00:00:00;2024-12-12 00:00:00;F;PDIAZBOS;2024-12-12 13:49:48;2024-12-24 00:00:00;713929,17;713929,17;2024-12-16 10:06:38;BANCO;C;713929,17;689739,28
2024;OCC;59649;2024;FCG;564905;2024;PRD;436855;2024;C41;484866;2024-12-19 00:00:00;2024-12-19 00:00:00;F;RGAUTO3;2024-12-19 15:33:52;2025-01-03 00:00:00;2053574,44;2053574,44;2025-03-18 12:28:18;BANCO;C;2053574,44;1883928,07
2024;OCC;58582;2024;FCG;545704;2024;PRD;426873;2024;C41;470337;2024-12-09 00:00:00;2024-12-09 00:00:00;F;PDIAZBOS;2024-12-10 10:44:09;2024-12-19 00:00:00;819470,21;819470,21;2024-12-16 10:13:32;BANCO;C;819470,21;791505,7
2024;OCC;61831;2024;FCG;568172;2024;PRD;448765;2024;C41;488768;2024-12-26 00:00:00;2024-12-26 00:00:00;F;RGAUTO3;2024-12-27 08:32:40;2025-01-08 00:00:00;4487728,53;4487728,53;2025-02-17 13:28:31;BANCO;C;4487728,53;4250035,47
2024;OCC;63215;2024;FCG;576635;2024;PRD;453417;2024;C41;496100;2025-01-08 00:00:00;2025-01-23 00:00:00;F;RGAUTO3;2025-01-23 15:09:45;2025-01-22 00:00:00;9114046,73;9114046,73;2025-01-27 11:19:16;BANCO;C;9114046,73;8721075,8
2024;OCC;66593;2024;FCG;592230;2024;PRD;464018;2024;C41;506490;2025-01-24 00:00:00;2025-01-26 00:00:00;F;RGAUTO3;2025-01-27 13:52:52;2025-02-06 00:00:00;1155984,28;1155984,28;2025-03-07 14:33:13;BANCO;C;1155984,28;1099767,31
