id_oc_bac;o_ente;aa_ocompra;t_ocompra;n_ocompra
8503-0191-OCA19;160383;2019;OCA;43545
2175-0201-OCA19;82619;2019;OCA;44929
8503-0090-OCA17;215266;2017;OCA;45222
2900-0150-OCA20;32930;2020;OCA;46005
2900-0151-OCA20;32847;2020;OCA;46014
2900-0147-OCA20;127314;2020;OCA;46015
2900-0144-OCA20;49584;2020;OCA;46023
2900-0146-OCA20;193944;2020;OCA;46024
2900-0149-OCA20;32321;2020;OCA;46037
2900-0148-OCA20;202308;2020;OCA;46098
2900-0145-OCA20;44630;2020;OCA;46158
489-0101-OCA24;127405;2024;OCA;46290
489-0103-OCA24;82619;2024;OCA;46291
489-0101-OCA23;226349;2023;OCA;49402
7411-0128-OCA24;318443;2024;OCA;50733
545-0229-OCA19;33819;2019;OCA;52131
545-0230-OCA19;25975;2019;OCA;52184
545-0228-OCA19;79225;2019;OCA;52253
545-0231-OCA19;120202;2019;OCA;52257
7116-0168-OCA22;125621;2022;OCA;53374
550-0044-OCA15;124230;2015;OCA;53443
7116-0253-OCA21;199719;2021;OCA;54913
7192-0162-OCA24;49584;2024;OCA;56153
7192-0163-OCA24;127042;2024;OCA;56156
7192-0161-OCA24;124204;2024;OCA;56498
282-0264-OCA21;94546;2021;OCA;59159
282-0266-OCA21;76449;2021;OCA;59519
7323-0269-OCA21;96905;2021;OCA;59528
489-0142-OCA23;82619;2023;OCA;61477
7411-0175-OCA24;59527;2024;OCA;62067
3202-0197-OCA24;215724;2024;OCA;62072
7123-0281-OCA21;32118;2021;OCA;65638
7123-0279-OCA21;32321;2021;OCA;65639
7123-0283-OCA21;26296;2021;OCA;65640
7123-0282-OCA21;120202;2021;OCA;65641
7123-0284-OCA21;94546;2021;OCA;65642
7123-0285-OCA21;83261;2021;OCA;65643
7123-0280-OCA21;311990;2021;OCA;65644
7123-0278-OCA21;275932;2021;OCA;65645
101-0221-OCA22;278388;2022;OCA;66386
226-0208-OCA23;32118;2023;OCA;75547
226-0204-OCA23;216656;2023;OCA;75558
226-0203-OCA23;32321;2023;OCA;75680
226-0206-OCA23;124204;2023;OCA;75681
7211-0212-OCA23;41291;2023;OCA;77145
7192-0256-OCA23;83261;2023;OCA;84055
7192-0252-OCA23;83261;2023;OCA;84056
7192-0258-OCA23;226349;2023;OCA;84138
7116-0251-OCA23;309531;2023;OCA;84168
7192-0259-OCA23;83261;2023;OCA;84384
7192-0257-OCA23;94546;2023;OCA;84483
7192-0260-OCA23;94546;2023;OCA;84680
7192-0253-OCA23;83261;2023;OCA;85404
550-0034-OCA19;33803;2019;OCA;19395
500-0034-OCA22;83261;2022;OCA;20559
7450-0055-OCA20;226349;2020;OCA;26261
3187-0146-OCA25;96905;2025;OCA;30114
3187-0144-OCA25;127314;2025;OCA;30115
3187-0150-OCA25;32118;2025;OCA;30128
3187-0149-OCA25;94546;2025;OCA;30139
2175-0090-OCA18;226349;2018;OCA;32019
7450-0113-OCA21;226349;2021;OCA;32296
112-0197-OCA21;32078;2021;OCA;41533
112-0196-OCA21;278385;2021;OCA;42726
8503-0189-OCA19;193932;2019;OCA;43515
8503-0194-OCA19;21799;2019;OCA;43516
8503-0190-OCA19;67400;2019;OCA;43539
8503-0192-OCA19;216656;2019;OCA;43555
2175-0141-OCA18;226349;2018;OCA;45230
2175-0151-OCA18;122770;2018;OCA;45705
7411-0157-OCA22;198565;2022;OCA;50897
7116-0169-OCA22;126937;2022;OCA;53456
7211-0233-OCA21;304076;2021;OCA;54979
489-0165-OCA24;127042;2024;OCA;58216
112-0201-OCA17;120202;2017;OCA;58305
489-0176-OCA24;320689;2024;OCA;59742
3202-0195-OCA24;96905;2024;OCA;61985
3202-0198-OCA24;32271;2024;OCA;62035
3202-0196-OCA24;213258;2024;OCA;62049
226-0205-OCA23;96905;2023;OCA;75485
226-0207-OCA23;120202;2023;OCA;75533
226-0209-OCA23;272786;2023;OCA;75581
7411-0004-OCA22;120202;2021;OCA;77398
7116-0223-OCA23;201840;2023;OCA;78622
489-0199-OCA24;76456;2024;OCA;64202
7411-0003-OCA22;163690;2021;OCA;77397
