aa_ocompra;n_ocompra;aa_devengado;t_devengado;n_devengado;c_numcred;c_juris;c_sjuris;c_entidad;c_programa;c_inciso;c_pprincipal;c_pparcial;c_psparcial;c_ubica_geo;i_devengado;e_devengado
2021;65638;2022;DRP;10815;59198;70;0;0;7;3;3;5;0;14;923955,91;A
2021;65638;2022;DRP;11734;59198;70;0;0;7;3;3;5;0;14;5234526,37;A
2021;65641;2022;DRP;13436;57199;70;0;0;5;3;3;5;0;4;658222,52;A
2021;65641;2022;DRP;9686;57199;70;0;0;5;3;3;5;0;4;1326305,04;A
2021;65639;2022;DRP;6647;57199;70;0;0;5;3;3;5;0;4;95052,51;A
2021;65641;2022;DRP;6371;57199;70;0;0;5;3;3;5;0;4;448067,03;A
2021;65644;2022;DRP;9497;53286;70;0;0;1;3;3;5;0;4;183467,75;A
2021;65645;2022;DRP;12424;53287;70;0;0;1;3;3;5;0;1;645723,73;A
2021;65645;2022;DRP;9910;53287;70;0;0;1;3;3;5;0;1;433962,73;A
2021;65645;2022;DRP;7488;53287;70;0;0;1;3;3;5;0;1;187679,89;A
2021;65639;2023;DRP;5043;58242;70;0;0;5;3;3;5;0;1;1129,35;X
2021;65644;2022;DRP;8751;58244;70;0;0;5;3;3;5;0;3;11598,15;A
2021;65640;2022;DRP;8495;58245;70;0;0;5;3;3;5;0;6;28920,13;A
2021;65640;2022;DRP;9723;58246;70;0;0;5;3;3;5;0;7;14460,06;A
2021;65639;2022;DRP;8571;58247;70;0;0;5;3;3;5;0;8;27629,1;A
2021;65639;2023;DRP;5043;58248;70;0;0;5;3;3;5;0;9;4506,53;X
2021;65639;2022;DRP;6885;58248;70;0;0;5;3;3;5;0;9;1766,51;A
2021;65642;2022;DRP;9853;58249;70;0;0;5;3;3;5;0;12;11781,93;A
2021;65638;2022;DRP;11734;58250;70;0;0;5;3;3;5;0;14;233682,18;A
2021;65643;2022;DRP;6701;58251;70;0;0;5;3;3;5;0;15;110516,47;A
2021;65644;2022;DRP;10729;53288;70;0;0;16;3;3;5;0;4;260829,59;A
2021;65644;2022;DRP;8751;53289;70;0;0;7;3;3;5;0;1;11832316,57;A
2021;65644;2022;DRP;6645;53289;70;0;0;7;3;3;5;0;1;17800710,61;A
2021;65644;2022;DRP;4806;53289;70;0;0;7;3;3;5;0;1;4240839,99;A
2021;65643;2022;DRP;4876;53289;70;0;0;7;3;3;5;0;1;299815,25;A
2021;65644;2022;DRP;10729;53292;70;0;0;1;3;3;5;0;4;2336027,58;A
2021;65639;2022;DRP;8408;53292;70;0;0;1;3;3;5;0;4;1395947,06;A
2021;65643;2022;DRP;9089;53292;70;0;0;1;3;3;5;0;4;40744,23;A
