t_ocompra;aa_ocompra;n_ocompra;aa_precepcion;t_precepcion;n_precepcion;o_ente;c_unid_ejec;fh_autorizacion;fh_alta;aa_ocompra_orig;t_ocompra_orig;n_ocompra_orig;e_formulario
OCC;2024;37319;2024;PRD;264482;311990;;2024-07-19 00:00:00;2024-07-19 16:41:35;2023;OCA;76141;A
OCC;2024;46094;2024;PRD;371738;83261;;2024-10-10 00:00:00;2024-10-10 14:50:04;2023;OCA;76134;A
OCC;2022;34316;2022;PRD;145347;120202;;2022-05-16 00:00:00;2022-05-16 12:13:45;2019;OCB;11597;A
OCC;2021;72984;2021;PRD;408737;216656;;2022-01-06 00:00:00;2022-01-06 11:13:01;2019;OCA;43555;A
OCC;2022;54837;2022;PRD;272163;216656;;2022-08-26 00:00:00;2022-08-26 17:28:41;2019;OCA;43555;A
OCC;2022;78263;2022;PRD;437329;216656;;2023-01-02 00:00:00;2023-01-02 15:36:43;2019;OCA;43555;A
OCC;2023;84704;2023;PRD;464097;32321;;2023-12-04 00:00:00;2023-12-04 16:15:31;2023;OCC;84663;A
OCC;2024;2385;2024;PRD;1299;236783;;2024-01-23 00:00:00;2024-01-23 12:19:47;2018;OCC;31379;A
OCC;2024;2294;2024;PRD;1256;159440;;2024-01-23 00:00:00;2024-01-23 11:55:27;2013;OCC;72069;A
OCC;2023;85901;2023;PRD;477247;49584;;2023-12-07 00:00:00;2023-12-07 09:40:26;2023;OCC;85323;A
OCC;2023;24915;2023;PRD;56971;49584;;2023-03-07 00:00:00;2023-03-07 16:19:53;2022;OCC;85411;A
OCC;2024;2394;2024;PRD;1319;256481;;2024-01-23 00:00:00;2024-01-23 12:34:21;2019;OCC;29696;A
OCC;2023;68884;2023;PRD;342360;311990;;2023-09-19 00:00:00;2023-09-19 10:53:29;2021;OCA;65644;A
OCC;2023;67655;2023;PRD;334699;275932;;2023-09-13 00:00:00;2023-09-13 12:42:40;2021;OCA;65645;A
OCC;2023;67413;2023;PRD;332005;32321;;2023-09-13 00:00:00;2023-09-12 14:57:56;2021;OCA;65639;A
OCC;2023;67423;2023;PRD;332147;32321;;2023-09-12 00:00:00;2023-09-12 15:12:47;2021;OCA;65639;A
OCC;2023;66466;2023;PRD;319051;94546;;2023-09-07 00:00:00;2023-09-07 11:16:56;2021;OCA;65642;A
OCC;2023;66472;2023;PRD;319091;94546;;2023-09-07 00:00:00;2023-09-07 11:23:59;2021;OCA;65642;A
OCC;2023;92810;2023;PRD;500670;120202;;2024-03-04 00:00:00;2024-03-04 15:09:40;2021;OCA;65641;A
OCC;2023;72002;2023;PRD;353539;83261;;2023-09-28 00:00:00;2023-09-28 16:13:24;2021;OCA;65643;A
OCC;2023;66888;2023;PRD;323647;32321;;2023-09-08 00:00:00;2023-09-08 15:22:30;2021;OCA;65639;A
