aa_oca_original;n_oca_original;aa_precepcion;t_precepcion;n_precepcion;c_numcred;c_juris;c_sjuris;c_entidad;c_inciso;c_pprincipal;c_pparcial;c_ubica_geo;i_total;e_formulario
2020;37067;2023;PRD;143944;31816;20;23;0;3;3;6;14;136372,64;A
2021;65643;2023;PRD;169560;13765;40;0;0;3;3;5;15;159279,6;A
2021;65643;2023;PRD;169560;13775;40;0;0;3;3;5;15;84886,93;A
2021;65638;2023;PRD;157423;7268;35;0;0;3;3;5;14;1194791,82;A
2021;65638;2023;PRD;157423;10543;40;0;0;3;3;5;14;106626;A
2021;65638;2023;PRD;47659;13755;40;0;0;3;3;5;1;38124,6;A
2014;56571;2016;PRD;105283;10324;30;0;0;3;3;5;1;2003;A
2021;37275;2022;PRD;449960;45153;55;0;0;3;3;5;1;4560000;A
2020;37067;2023;PRD;32201;31813;20;23;0;3;3;1;14;308375,7;A
2020;37067;2023;PRD;32201;31826;20;23;0;3;9;6;14;1152773,2;A
2021;65642;2023;PRD;51425;2775;21;0;0;3;3;5;13;2039864,3;A
2021;65642;2023;PRD;51425;10541;40;0;0;3;3;5;11;469969,96;A
2021;65642;2023;PRD;51425;15187;45;0;0;3;3;5;12;1201311,9;A
2021;65641;2023;PRD;48631;7266;35;0;0;3;3;5;4;458157,7;A
2021;65641;2023;PRD;48631;27293;70;0;0;3;3;5;4;1159074,38;A
2021;65639;2023;PRD;46836;28136;20;27;210;3;3;5;8;182488,1;A
2021;65639;2023;PRD;46836;38393;60;0;602;3;3;5;9;5134;A
2021;65644;2023;PRD;44884;6134;28;0;0;3;3;5;4;2564825,08;A
2021;65644;2023;PRD;44884;13757;40;0;0;3;3;5;3;17485,25;A
2021;65644;2023;PRD;44884;16746;50;0;0;3;3;5;4;3516220,24;A
2021;65644;2023;PRD;44884;39460;20;23;934;3;3;5;4;6407,8;A
2019;44929;2021;PRD;29299;18118;45;0;0;3;3;1;1;1249037,2;A
